date,open,high,low,close,volume,day_of_week,month,week_of_year,is_month_end,return_1,log_return,return_mean_7,return_mean_14,momentum_7,momentum_14,volatility_7,volatility_14,volatility_30,vol_regime,volatility_squeeze,trend_strength,close_lag_1,return_lag_1,close_lag_2,return_lag_2,close_lag_3,return_lag_3,close_lag_7,return_lag_7,close_lag_14,return_lag_14,lag_momentum_1,rsi,rsi_14,rsi_momentum,hl_range,body,high_low_range,close_open_range,buy_pressure,sell_pressure,volume_ma_7,volume_ma_14,volume_change,volume_ratio,mean_20,std_20,z_score_20,bb_upper,bb_lower,bb_width,ema_20,ema_50,ema_diff,ema_ratio,ema20_slope,ema50_slope,resistance_20,support_20,breakout_up_dist,breakout_down_dist,atr_14,trend_conf,mean_conf,breakout_conf,target,time_idx
2026-02-20,67003.73,68318.39,66280.2,68020.01,35351.87091,4,2,8,0,0.01516751380855963,0.015053637111473492,-0.0017408304665585664,-0.0026391839577730343,-0.012111866913682379,-0.036274306725421535,0.014881342829615403,0.018500204747454986,0.041783855815849355,0.35615053189562546,0.35615053189562546,-0.0005398103942876216,67003.73,0.008132980025301773,66461.0,-0.015564435209118136,67503.52,-0.0203665579406587,68853.96,0.038217689464747844,70580.26,0.11504759382534949,-9.850557167809221e-05,41.45531197410541,41.45531197410541,-0.5021012214955483,0.029964564839081505,1016.2799999999988,0.029964564839081505,0.01516751380855937,0.8536054047950103,0.14639459520449905,19685.178534285715,23302.378522857147,1.430973376351615,1.7958623463041383,69773.845,3823.709807014384,-0.4586736673327653,77421.26461402877,62126.42538597123,0.2192059105823581,71190.90010470165,77920.02958812109,-6729.129483419441,0.9136405681698276,-333.77790575806284,-404.0824321682012,79424.0,60000.0,-0.1435836774778387,0.13366683333333101,3354.429944063005,1.0,0.4290025973537448,0.03230545200132055,-0.0006482546691270726,0
2026-02-21,68020.0,68698.7,67534.69,67975.93,8032.84131,5,2,8,0,-0.0006480445974648141,-0.0006482546691270726,-0.0038298686232417687,-0.0013669982695451704,-0.026452906959674505,-0.018956007399691166,0.01324376348533053,0.017932334190324476,0.041769694310076495,0.3170663177458135,0.3170663177458135,-0.0002510488786276852,68020.01,0.015053637111473492,67003.73,0.008132980025301773,66461.0,-0.015564435209118136,69822.95,0.013975012427655345,69289.38,-0.01845885430431717,-0.0003982124619145115,45.21850811769626,45.21850811769626,-1.1961609880927055,0.01712385545883635,44.070000000006985,0.01712385545883635,-0.0006478976771538714,0.3790689083423799,0.6209310916567611,18244.90101714286,20715.047162142855,-0.7727746480391298,0.4402787004682526,69324.231,3442.9556816550994,-0.3916114886937665,76210.1423633102,62438.319636689805,0.1986581391233924,70884.71247568245,77530.06489839086,-6645.352422708413,0.9142867682179994,-306.18762901920127,-389.96468973023,79360.0,60000.0,-0.14344846270161118,0.13293216666666435,3197.9713766299333,1.0,0.3727486466214521,0.02765837648493175,-0.00490388304368946,1
2026-02-22,67975.93,68245.0,67190.0,67643.4,8175.13484,6,2,8,0,-0.004891878639983305,-0.00490388304368946,-0.002489627211622207,-0.002782433180228412,-0.017276411838696215,-0.03820511136154836,0.012460883146679973,0.017320154137922494,0.04173847960278546,0.29854664009615106,0.29854664009615106,-0.0004760694282821495,67975.93,-0.0006482546691270726,68020.01,0.015053637111473492,67003.73,0.008132980025301773,68832.58,-0.014285572925026392,70330.38,0.014912205705875922,1.1199514640197054e-05,39.68629522207016,39.68629522207016,-0.6856367806085659,0.015596495740899843,332.52999999999884,0.015596495740899843,-0.004891878639983211,0.4297630331749426,0.5702369668241095,16228.484268571428,19768.94738785714,0.01771397249225637,0.5037522115254909,68769.4705,2648.379935164897,-0.4251922033722339,74066.2303703298,63472.710629670204,0.15404393350185003,70576.01604942698,77142.35254943436,-6566.336500007383,0.9148802663776625,-308.6964262554684,-387.7123489564983,79186.81,60000.0,-0.1457744035906972,0.12738999999999778,3044.901992584938,1.0,0.4012955486873021,0.0220734018855346,-0.04516857121636174,2
2026-02-23,67643.39,67684.86,63888.79,64656.02,33075.90923,0,2,9,0,-0.04416365824308055,-0.04516857121636174,-0.009066440706025695,-0.0058131080171623705,-0.0614931132491624,-0.07815991331375294,0.020162140177915743,0.020695286668980482,0.042230757020589114,0.47742785407938754,0.47742785407938754,-0.0015758711285256298,67643.4,-0.00490388304368946,67975.93,-0.0006482546691270726,68020.01,0.015053637111473492,68892.43,0.0008691232444626728,70138.0,-0.0027391234992863328,0.0003015550353662432,32.67527365074221,32.67527365074221,-2.009304303052463,0.058711779661042254,2987.3700000000026,0.058711779661042254,-0.04416351693787018,0.20211165758265623,0.7978883424170803,18737.076252857143,20049.174588571426,3.045916046321751,1.7652652304787741,68213.761,2236.0476155364813,-1.5910846331171815,72685.85623107296,63741.665768927036,0.13112003107621928,70012.2069018625,76652.69244945655,-6640.485547594042,0.91336918071112,-563.809147564476,-489.66009997781657,76971.52,60000.0,-0.1600007379352759,0.077600333333332,3098.5568502574424,1.0,0.9203154678185379,0.018440519269677526,-0.009289953077215952,3
2026-02-24,64656.01,65026.75,62510.28,64058.15,23102.83622,1,2,9,0,-0.009246934778849636,-0.009289953077215952,-0.007484068582676731,-0.0051437461203362395,-0.0510398568845003,-0.06948068521086681,0.019552925513547016,0.02039717280154775,0.04208907960103297,0.46456052815435317,0.46456052815435317,-0.0013585506625582865,64656.02,-0.04516857121636174,67643.4,-0.00490388304368946,67975.93,-0.0006482546691270726,67503.52,-0.0203665579406587,68841.29,-0.01866101963278177,0.0023053974105604626,34.185269288878445,34.185269288878445,-1.7448112520624592,0.039284150416456956,597.8600000000006,0.039284150416456956,-0.009246781544360552,0.6150957492039988,0.38490425079560386,19681.90011142857,20244.107838571428,-0.3015207515733044,1.1738112727532766,67758.37700000001,2097.5787231123763,-1.764046783668679,71953.53444622476,63563.219553775256,0.12382697555535278,69445.15386358989,76158.78882398766,-6713.634960397772,0.9118468785537711,-567.0530382726138,-493.90362546888355,73341.18,60000.0,-0.12657322939172597,0.06763583333333223,3056.9792180961967,1.0,0.9429532658551683,0.045796570304172377,0.059540542765822574,4
2026-02-25,64058.15,69988.83,63913.27,67988.04,30749.99259,2,2,9,0,0.06134879012272432,0.059540542765822574,0.003245213985171943,0.0009577360014706235,0.022976482448353153,0.013498598442634346,0.031398208673649924,0.02578228939243255,0.043672226447087834,0.7189513910571931,0.7189513910571931,0.0004238318107036391,64058.15,-0.009289953077215952,64656.02,-0.04516857121636174,67643.4,-0.00490388304368946,66461.0,-0.015564435209118136,67082.52,-0.02588020693947351,-0.0002134504438246767,52.61808744764015,52.61808744764015,1.2089785627066152,0.08936218782009182,3929.889999999992,0.08936218782009182,0.06134879012272335,0.6706822087180971,0.32931779128173816,21861.550711428572,20389.23259357143,0.3310050894694867,1.40657874621508,68012.28600000001,1759.9659967122163,-0.01377640252442024,71532.21799342443,64492.35400657557,0.10350870998291038,69306.38111467657,75838.36730147834,-6531.986186801776,0.913869635921403,-138.7727489133249,-320.4215225093212,72271.41,60000.0,-0.059267834957142114,0.13313399999999767,3272.5921310893264,1.0,0.01377553105280179,0.21267741082952601,-0.007423789136971464,5
2026-02-26,67988.04,68860.0,66500.0,67485.18,20737.77792,3,2,9,0,-0.007396300878801609,-0.007423789136971464,0.0010228183905614803,0.0012955691300924857,0.007185420871345549,0.018303459808242106,0.03154480708185591,0.025627798388627797,0.04352757132116755,0.7247086248941939,0.7247086248941939,0.0005773791085815006,67988.04,0.059540542765822574,64058.15,-0.009289953077215952,64656.02,-0.04516857121636174,67003.73,0.008132980025301773,66272.17,-0.012153452937677535,0.0004278238586807838,53.57060646820479,53.57060646820479,0.38492735380727755,0.034970640961466876,502.8600000000006,0.034970640961466876,-0.007396300878801524,0.41744915254219306,0.5825508474573833,22746.623288571427,20136.80652857143,-0.32560055553496314,0.9116859965064951,67857.532,1655.238894227742,-0.22495363134486443,71168.00978845549,64547.05421154452,0.09757141737649501,69132.93338946927,75510.79132887135,-6377.857939402078,0.9155371328102552,-173.44772520729748,-327.5759726069955,72271.41,62510.28,-0.06622577309616547,0.07958530980824138,3207.40697886866,1.0,0.22123436919313583,0.18358533266741447,-0.024193035094981677,6
2026-02-27,67485.19,68216.8,64914.46,65872.1,21228.58424,4,2,9,0,-0.023902729458526895,-0.024193035094981677,-0.004583849067503544,-0.003162339767031051,-0.03157761958576588,-0.04330702257357455,0.03211796349946306,0.024093403668401327,0.043568461529245456,0.7371837708962942,0.7371837708962942,-0.0013909333702884902,67485.18,-0.007423789136971464,67988.04,0.059540542765822574,64058.15,-0.009289953077215952,68020.01,0.015053637111473492,68853.96,0.038217689464747844,0.00023442558925222608,40.69177528849545,40.69177528849545,-1.284949400329578,0.050132605458152284,1613.0899999999965,0.050132605458152284,-0.02390287409726449,0.2899883113185546,0.7100116886811426,20729.010907142856,20207.094720714285,0.023667257017284227,1.0241002011670501,67686.66799999999,1675.9029230760377,-1.0827405185667625,71038.47384615206,64334.86215384791,0.09903887856178782,68822.37782856743,75132.80343362149,-6310.425605054057,0.9160097145765348,-310.5555609018338,-377.9878952498548,72271.41,62510.28,-0.08854552581719256,0.053780274220495465,3214.1879089494705,1.0,0.7942131709045314,0.12015565055639393,0.0165784521278679,7
2026-02-28,65872.09,67760.0,63030.0,66973.26,22548.71649,5,2,9,1,0.016716637240956178,0.0165784521278679,-0.002122890953647119,-0.00297637978844444,-0.014750368255351587,-0.04081308509594628,0.03311430043768867,0.024245417002415164,0.043040055644291544,0.7693832912759575,0.7693832912759575,-0.0013514967616561188,65872.1,-0.024193035094981677,67485.18,-0.007423789136971464,67988.04,0.059540542765822574,67975.93,-0.0006482546691270726,69822.95,0.013975012427655345,0.0003568561768656246,41.17716265071961,41.17716265071961,-0.6073783128086235,0.0706252017596266,1101.1699999999983,0.0706252017596266,0.016716791588060765,0.833670190274664,0.16632980972512448,22802.707361428573,20523.80418928571,0.0621865422147434,0.9888613721430642,67518.812,1561.3857988594866,-0.3494024349383473,70641.58359771899,64396.04040228103,0.09250078623181136,68646.27136870388,74812.82133818536,-6166.549969481479,0.9175736209491819,-176.10645986355667,-319.98209543613484,71453.53,62510.28,-0.06270187071233488,0.07139593679631454,3322.4602011673655,1.0,0.3358454863872568,0.20611904005538925,-0.018031259656580454,8
2026-03-01,66973.26,68199.99,65056.0,65776.47,23201.85859,6,3,9,0,-0.01786966917841526,-0.018031259656580454,-0.003998230469774404,-0.003243928840698302,-0.02759958842991328,-0.044399178412315776,0.03366517822751821,0.024399988330043643,0.043075420293674345,0.7815403126994365,0.7815403126994365,-0.0014947062544059895,66973.26,0.0165784521278679,65872.1,-0.024193035094981677,67485.18,-0.007423789136971464,67643.4,-0.00490388304368946,68832.58,-0.014285572925026392,-0.00045755845553417413,40.65748630615503,40.65748630615503,-1.122129888644714,0.04779809558037938,1196.7899999999936,0.04779809558037938,-0.017869669178415024,0.22915785355544097,0.770842146444241,24949.38218285714,20588.933225714285,0.028965821637327194,0.9299572398205994,67300.7355,1478.7094179740275,-1.0308080015391745,70258.15433594806,64343.31666405194,0.08788667208393328,68372.95695263684,74458.45461904083,-6085.497666403986,0.9182698902691341,-273.3144160670345,-354.36671914452745,70983.0,62510.28,-0.07334897088035058,0.05225044584666635,3309.7123296554114,1.0,0.7742321991195338,0.1717739855312101,0.04537839252942392,9
2026-03-02,65776.48,70096.0,65259.21,68830.06,32010.38431,0,3,10,0,0.04642374393153048,0.04537839252942392,0.008937050065337833,-6.4695320343927e-05,0.06455763902572409,-0.0009053244311456599,0.032588006266375244,0.027659162028672173,0.0426371275847088,0.7643105281264759,0.7643105281264759,-2.9502718235277368e-05,65776.47,-0.018031259656580454,66973.26,0.0165784521278679,65872.1,-0.024193035094981677,64656.02,-0.04516857121636174,68892.43,0.0008691232444626728,-0.0011640555520886226,49.8388344607067,49.8388344607067,3.2174774845771212,0.07027147731674112,3053.5800000000017,0.07027147731674112,0.046423584843700294,0.7382685624141754,0.2617314375856178,24797.164337142858,21767.120295,0.37964741858208195,1.2908889046660632,67300.174,1478.095650107751,1.0350385645796585,70256.3653002155,64343.982699784494,0.0878509259193137,68416.49057619524,74237.7332614314,-5821.242685236153,0.9215864705252069,43.53362355839636,-220.72135760943638,70983.0,62510.28,-0.03033036079061144,0.10109985109649001,3418.7893061085965,1.0,0.7759212699725103,0.3475700500351176,-0.007174587301422502,10
2026-03-03,68830.06,69258.08,66158.0,68338.0,24972.2418,1,3,10,0,-0.007148911391331003,-0.007174587301422502,0.009239245176165468,0.0008775882967443727,0.06681195132859741,0.012362022010111495,0.032400079414481225,0.027134046926589134,0.04250130795056197,0.7623313308342899,0.7623313308342899,0.0004005304948511773,68830.06,0.04537839252942392,65776.47,-0.018031259656580454,66973.26,0.0165784521278679,64058.15,-0.009289953077215952,67503.52,-0.0203665579406587,0.003031818953045859,52.26111781284748,52.26111781284748,3.491667259690061,0.04536392636600363,492.0599999999977,0.04536392636600363,-0.007148911391330917,0.7032076591569558,0.2967923408427216,25064.22227714286,22373.061194285718,-0.2198706032967338,0.9963302082096623,67362.948,1494.9294351859376,0.6522394817104313,70352.80687037187,64373.089129628126,0.08876864683451292,68409.01528322426,74006.37117274781,-5597.355889523547,0.924366567353249,-7.475292970979353,-231.36208868358517,70983.0,62510.28,-0.03726244312018318,0.09322818582799354,3396.0243556722685,1.0,0.5731756403554696,0.3145673820193708,0.061418215316930716,11
